"","recordedBy","first_record","last_record","observations","activity_time","observations_by_time","user_category"
"55","Antonio Ripoll Castro","2017-08-15T08:52","2024-04-06T14:06:38",184,2427,0.0758137618459003,"beginner"
"56","Antonio Vega Páez","2019-04-29T10:41:45","2019-05-02T11:55:21",31,4,7.75,"beginner"
"57","Ari de Leon","2018-02-08T15:26","2022-06-29T17:41:31",9,1603,0.00561447286338116,"beginner"
"58","Ariane","2018-07-03T12:12","2018-07-03T12:12",1,1,1,"beginner"
"59","Ary Mailhos","2018-12-21","2024-03-27T17:12",387,1924,0.201143451143451,"intermediate"
"60","Bannina Altamiranda","2024-03-17T19:45","2024-03-17T19:45",2,1,2,"beginner"
"61","Basidio Miceto","2023-02-15T19:21","2023-02-15T19:21",1,1,1,"beginner"
"62","BeSch","2016-12-16T22:04","2016-12-16T22:04",1,1,1,"beginner"
"63","Belén Olivera","2019-12-04T19:45","2021-11-02T13:17:40",49,700,0.07,"beginner"
"64","Ben Costamagna","2022-11-12T08:36:03","2022-11-18T10:40",71,7,10.1428571428571,"beginner"
"65","Bert","2019-12-01T13:59:29","2022-12-31T18:28:11",155,1127,0.137533274179237,"beginner"
"66","Bert Filemyr","2024-02-04T07:32","2024-02-04T17:12",24,1,24,"beginner"
"67","Bianca Darski","2020-01-02","2020-01-03",3,2,1.5,"beginner"
"68","Bob at Lincoln","2013-02-15T13:46","2013-02-15T13:46",1,1,1,"beginner"
